Mode,Time(s),Value
DCI,88.3543243408,8.165469E-05
DCI,88.5543289185,8.185355E-05
DCI,88.7543792725,8.124773E-05
DCI,88.9543685913,7.855157E-05
DCI,89.1544189453,7.766827E-05
DCI,89.3544616699,8.116911E-05
DCI,89.5544967651,8.066965E-05
DCI,89.7545166016,7.875968E-05
DCI,89.9545745850,8.098412E-05
DCI,90.1546096802,8.215415E-05
DCI,90.3546447754,8.097950E-05
DCI,90.5546875000,8.085926E-05
DCI,90.7548904419,8.081301E-05
DCI,90.9585571289,8.243626E-05
DCI,91.1586532593,8.165007E-05
DCI,91.3586578369,7.876893E-05
DCI,91.5587692261,7.977247E-05
DCI,91.7587738037,8.088701E-05
DCI,91.9587783813,8.016094E-05
DCI,92.1588897705,8.101650E-05
DCI,92.3589096069,8.186280E-05
DCI,92.5588836670,8.129860E-05
DCI,92.7590179443,8.128935E-05
DCI,92.9589843750,8.133560E-05
DCI,93.1590270996,8.150208E-05
DCI,93.3591384888,8.191367E-05
DCI,93.5590896606,8.057253E-05
DCI,93.7591629028,8.123385E-05
DCI,93.9592437744,7.988809E-05
DCI,94.1592178345,8.045229E-05
DCI,94.3592453003,8.154833E-05
DCI,94.5593414307,7.983722E-05
DCI,94.7592926025,7.955049E-05
DCI,94.9593276978,8.149746E-05
DCI,95.1593704224,8.327794E-05
DCI,95.3593978882,7.989271E-05
DCI,95.5594024658,7.939788E-05
DCI,95.7594451904,7.901403E-05
DCI,95.9594573975,8.072515E-05
DCI,96.1620178223,8.121073E-05
DCI,96.3618850708,8.169632E-05
DCI,96.5619201660,8.150208E-05
DCI,96.7621459961,8.085001E-05
DCI,96.9619903564,8.142346E-05
DCI,97.1620330811,7.942100E-05
DCI,97.3622131348,8.031818E-05
DCI,97.5621337891,7.930539E-05
DCI,97.7621688843,7.973085E-05
DCI,97.9622344971,7.875968E-05
DCI,98.1622619629,7.998058E-05
DCI,98.3624496460,8.237151E-05
DCI,98.5625610352,8.180268E-05
DCI,98.7626113892,8.277385E-05
DCI,98.9625778198,8.242701E-05
DCI,99.1626739502,7.965686E-05
DCI,99.3626327515,8.220965E-05
DCI,99.5626602173,9.939475E-05
DCI,99.7627792358,1.168481E-04
DCI,99.9627227783,1.141935E-04
DCI,100.1627349854,1.000884E-04
DCI,100.3628234863,8.282472E-05
DCI,100.5627899170,7.329338E-05
DCI,100.7628250122,6.755422E-05
DCI,100.9628524780,6.510779E-05
DCI,101.1629028320,6.259200E-05
DCI,101.3655242920,5.890155E-05
DCI,101.5654525757,5.961837E-05
DCI,101.7654953003,5.902179E-05
DCI,101.9656143188,5.880906E-05
DCI,102.1655731201,5.840209E-05
DCI,102.3656005859,5.653837E-05
DCI,102.5661392212,5.831422E-05
DCI,102.7661056519,5.846684E-05
DCI,102.9661407471,5.772690E-05
DCI,103.1662597656,5.692684E-05
DCI,103.3661956787,5.831422E-05
DCI,103.5662002563,5.853158E-05
DCI,103.7663040161,5.830960E-05
DCI,103.9662628174,5.720431E-05
DCI,104.1663131714,5.768990E-05
DCI,104.3663864136,5.813849E-05
DCI,104.5664215088,5.777777E-05
DCI,104.7664260864,5.658461E-05
DCI,104.9664611816,5.991434E-05
DCI,105.1664962769,5.923452E-05
DCI,105.3665084839,5.741705E-05
DCI,105.5665893555,5.810149E-05
DCI,105.7666320801,5.638113E-05
DCI,105.9665908813,5.751879E-05
DCI,106.1666870117,5.790263E-05
DCI,106.3666763306,5.651062E-05
DCI,106.5666732788,5.504461E-05
DCI,106.7667541504,5.720894E-05
DCI,106.9667434692,5.905879E-05
DCI,107.1667938232,5.703783E-05
DCI,107.3668746948,5.778239E-05
DCI,107.5668258667,5.799512E-05
DCI,107.7668457031,5.646437E-05
DCI,107.9669418335,5.884605E-05
DCI,108.1669311523,5.861482E-05
DCI,108.3787689209,5.721356E-05
DCI,108.5670623779,5.579843E-05
DCI,108.7670211792,5.746792E-05
DCI,108.9670410156,5.910041E-05
DCI,109.1671218872,5.702858E-05
DCI,109.3671188354,5.681585E-05
DCI,109.5671463013,5.745404E-05
DCI,109.7671737671,5.829572E-05
DCI,109.9671936035,5.783326E-05
DCI,110.1693725586,5.655224E-05
DCI,110.3693237305,5.631639E-05
DCI,110.5693359375,5.771765E-05
DCI,110.7694549561,5.856395E-05
DCI,110.9694137573,5.743554E-05
DCI,111.1694488525,5.892467E-05
DCI,111.3695449829,5.829572E-05
DCI,111.5695114136,5.648750E-05
DCI,111.7695388794,5.787488E-05
DCI,111.9696273804,5.751416E-05
DCI,112.1696014404,5.814774E-05
DCI,112.3696136475,5.775927E-05
DCI,112.5696563721,5.833735E-05
DCI,112.7697143555,5.917903E-05
DCI,112.9697189331,5.749566E-05
DCI,113.1697463989,5.729218E-05
DCI,113.3697586060,5.744942E-05
DCI,113.5697860718,5.789801E-05
DCI,113.7698745728,5.600191E-05
DCI,113.9699707031,5.814774E-05
DCI,114.1699600220,5.862870E-05
DCI,114.3700485229,5.953975E-05
DCI,114.5700225830,5.987272E-05
DCI,114.7700653076,5.879518E-05
DCI,114.9701614380,5.632564E-05
DCI,115.1701583862,5.520185E-05
DCI,115.3702011108,5.671873E-05
DCI,115.5702896118,5.824485E-05
DCI,115.7702560425,5.577068E-05
DCI,115.9722976685,5.598804E-05
DCI,116.1721496582,5.798125E-05
DCI,116.3721542358,5.802287E-05
DCI,116.5723648071,5.774539E-05
DCI,116.7723617554,5.818011E-05
DCI,116.9723739624,5.598341E-05
DCI,117.1725082397,5.531284E-05
DCI,117.3724365234,5.912816E-05
DCI,117.5724716187,5.968311E-05
DCI,117.7725906372,5.688984E-05
DCI,117.9725418091,5.663548E-05
DCI,118.1725845337,5.574756E-05
DCI,118.3727035522,5.652912E-05
DCI,118.5726547241,5.802750E-05
DCI,118.7726898193,5.917903E-05
DCI,118.9727325439,5.707482E-05
DCI,119.1727676392,5.637188E-05
DCI,119.3728027344,5.738467E-05
DCI,119.5728378296,5.810611E-05
DCI,119.7728500366,5.670485E-05
DCI,119.9728698730,5.893392E-05
DCI,120.1729049683,5.801825E-05
DCI,120.3729324341,5.722744E-05
DCI,120.5729675293,5.812924E-05
DCI,120.7729873657,5.701470E-05
DCI,120.9730224609,5.762053E-05
DCI,121.1730346680,5.803212E-05
DCI,121.3730545044,5.848996E-05
DCI,121.5731735229,5.766215E-05
DCI,121.7731246948,5.835122E-05
DCI,121.9732208252,5.761128E-05
DCI,122.1732025146,5.866569E-05
DCI,122.3732299805,5.807837E-05
DCI,122.5733108521,5.676035E-05
DCI,122.7732849121,5.870269E-05
DCI,122.9733123779,5.729681E-05
DCI,123.1734085083,5.569669E-05
DCI,123.3733673096,5.621002E-05
DCI,123.5754013062,5.835122E-05
DCI,123.7754135132,5.753266E-05
DCI,123.9753723145,5.653374E-05
DCI,124.1761932373,5.802750E-05
DCI,124.3761444092,5.845296E-05
DCI,124.5762176514,5.894780E-05
DCI,124.7762069702,5.887843E-05
DCI,124.9762954712,5.772690E-05
DCI,125.1762695312,5.664011E-05
DCI,125.3791198730,5.632101E-05
DCI,125.5791168213,5.864257E-05
DCI,125.7791290283,5.742630E-05
DCI,125.9792633057,5.680660E-05
DCI,126.1792144775,5.698233E-05
DCI,126.3792648315,5.892467E-05
DCI,126.5798263550,5.703783E-05
DCI,126.7793121338,5.620077E-05
DCI,126.9793167114,5.639500E-05
